Row,Name,Assembly Length,# Genes,Published
1002,Gaertneriomyces semiglobifer Barr 43 v1.0,"20,918,219","8,714","Amses KR et al., 2022"
1004,Galactomyces geotrichum Phaff 72-186 v1.0,"23,149,029","6,826",
1005,Galerina marginata v1.0,"59,418,196","21,461","Riley R et al., 2014"
1007,Gamsiella multidivaricata NRRL 6456,"36,027,863","10,546","Vandepol N et al., 2020"
1009,Ganoderma leucocontextum Dai12418 v1.0,"60,339,699","16,952","Sun YF et al., 2022"
1011,Ganoderma sinense ZZ0214-1,"48,955,697","15,478","Zhu Y et al., 2015"
1012,Ganoderma sp. 10597 SS1 v1.0,"39,522,573","12,910","Binder M et al., 2013"
1014,Geastrum triplex GST.BST v1.0,"58,565,933","14,309",
1016,Geosiphon pyriformis,"128,319,586","11,949","Malar C M et al., 2021"
1017,Geranomyces variabilis JEL559 v1.0,"23,695,997","9,411","Amses KR et al., 2022"
1019,Gigaspora rosea v1.0,"567,950,182","31,291","Morin E et al., 2019"
1021,Glarea lozoyensis ATCC 20868,"39,509,734","13,083","Chen L et al., 2013"
1022,Globomyces pollinis-pini Arg68 v1.0,"21,646,612","11,537","Amses KR et al., 2022"
1024,Gloeophyllum trabeum v1.0,"37,181,821","11,846","Floudas D et al., 2012"
1025,Glomerella acutata (Colletotrichum fioriniae MH 18) v1.0,"50,035,977","15,777",
1027,Gloniopsis sp. FL0384 v1.0,"35,836,257","12,423",
1029,Gnomoniopsis castanea Behrend v1.0,"39,284,226","12,058",
1031,Golovinomyces cichoracearum UMSG1,"65,886,882","6,532","Wu Y et al., 2018"
1033,Golovinomyces orontii MGH1 v4.0,"211,351,066","12,649",
1034,Gonapodya prolifera v1.0,"48,794,828","13,902","Chang Y et al., 2015"
1035,Gongronella butleri v1.0,"33,012,461","11,004","Chang Y et al., 2022"
1036,Gorgonomyces haynaldii MP57 v1.0,"13,983,420","7,898","Amses KR et al., 2022"
1037,Graphis scripta CBS 132367,"36,224,679","13,065","McDonald TR et al., 2013"
1038,Gremmeniella abietina DAOM 170367 v1.0,"66,160,465","10,825",
1039,Gremmeniella abietina DAOM 170408 v1.0,"38,809,823","11,131",
1040,Grifola frondosa 9006-11,"39,289,314","15,039",
1042,Gryganskiella cystojenkinii 1230,"42,943,035","12,079","Vandepol N et al., 2020"
1044,Gymnascella aurantiaca v1.0,"25,350,464","9,106",
1045,Gymnascella citrina v1.1,"25,160,636","9,779",
1047,Gymnopilus junonius AH 44721 v1.0,"59,461,163","16,444","Ruiz-Dueñas FJ et al., 2021"
1049,Gymnopus earleae GB-263.02 v1.0,"91,673,264","25,530",
1050,Gymnopus luxurians v1.0,"66,281,680","22,057","Kohler A et al., 2015"
1052,Gyromitra esculenta CBS101906 v1.0,"45,046,303","11,202",
1053,Gyromitra infula GyrinfSpk-SM18 v1.0,"45,877,806","11,121",
1054,Halteromyces radiatus CBS 162.75 v1.0,"26,215,609","10,175","Chang Y et al., 2022"
1056,Hanseniaspora nectarophila Y1191 v1.0,"20,157,560","4,288",
1057,Hanseniaspora opuntiae AWRI3578,"8,831,957","4,167","Sternes PR et al., 2016"
1059,Hanseniaspora uvarum AWRI3580,"8,807,786","4,061","Sternes PR et al., 2016"
1060,Hanseniaspora valbyensis HY1 v2.0,"21,272,155","4,299",
1062,Haplosporangium bisporale NRRL A-12553,"38,988,710","13,339","Vandepol N et al., 2020"
1064,Haplosporangium sp. NRRL A-10739,"33,515,068","9,756","Vandepol N et al., 2020"
1066,Hebeloma brunneifolium PMI1Jessy v2.0,"65,279,695","20,438",
1068,Helicocarpus griseus UAMH 5409,"32,035,056","10,224","Muñoz JF et al., 2018"
1070,Heliocybe sulcata OMC1185 v1.0,"31,948,515","12,570","Varga T et al., 2019"
1072,Helotiales sp. P8C63 v1.0,"46,279,842","12,802",
1074,Helotiales sp. UNIPAMPA011 v1.0,"48,198,474","16,711",
1076,Hepatospora eriocheir GB1,"4,570,278","2,691","Wiredu Boakye D et al., 2017"
1078,Herpotrichia sp. AK1299 v1.0,"52,395,805","15,663",
1080,Herpotrichiellaceae sp. JF2 05-7F Lumpy v1.0,"29,532,632","10,928",
1082,Heterobasidion annosum v2.0,"33,649,967","13,383","Olson Å et al., 2012"
1083,Heterodoassansia hygrophilae CBS 346.65 v1.0,"25,986,125","7,158",
1085,Hexagonia nitida CIRM-BRFM 1802 v1.0,"41,833,432","14,981","Hage H et al., 2021"
1087,Histoplasma capsulatum NAm1,"32,988,475","9,251","Sharpton TJ et al., 2009"
1088,Homolaphlyctis polyrhiza JEL142 v1.0,"21,324,754","7,123","Joneson S et al., 2011"
1089,Hortaea acidophila CBS 113389 v1.0,"20,432,448","9,831","Haridas S et al., 2020"
1091,Hortaea werneckii EXF-2000 M0 v1.0,"49,942,992","15,748","Lenassi M et al., 2013"
1093,Hyalopycnis blepharistoma ATCC 48560 v1.0,"17,929,094","7,872",
1095,Hyaloscypha finlandica PMI_746 v1.0,"64,032,857","17,321",
1097,Hydnopolyporus fimbriatus CBS384.51 v1.0,"34,571,335","12,424","Hage H et al., 2021"
1099,Hygrocybe coccinea JK88 v2.0,"166,368,867","24,431",
1101,Hymenopellis radicata IJFM A160 v1.0,"78,586,887","27,481","Ruiz-Dueñas FJ et al., 2021"
1103,Hypholoma sublateritium v1.0,"48,031,814","17,911","Kohler A et al., 2015"
1105,Hypomyces perniciosus HP10,"44,006,492","11,447","Li D et al., 2019"
1107,Hypoxylon argillaceum CBS 527.63 v1.0,"54,444,476","12,590","Franco MEE et al., 2022"
1109,Hypoxylon crocopeplum CBS 119004 v1.0,"40,730,267","12,441","Franco MEE et al., 2022"
1111,Hypoxylon fuscum CBS 119018 v1.0,"39,045,003","12,268","Franco MEE et al., 2022"
1112,Hypoxylon investiens CIRM-BRFM 1445 v1.0,"38,032,130","12,205",
1114,Hypoxylon polyporus FL1289 v1.0,"41,510,572","10,036",
1115,Hypoxylon rubiginosum CBS 119005 v1.0,"42,157,771","12,728","Franco MEE et al., 2022"
1116,Hypoxylon rubiginosum ER1909 v1.0,"44,157,955","13,953","Franco MEE et al., 2022"
1117,Hypoxylon sp. CI-4A v1.0,"37,704,138","11,712","Wu W et al., 2017"
1118,Hypoxylon sp. CO27-5 v1.0,"46,585,682","12,256","Wu W et al., 2017"
1120,Hypoxylon sp. FL0543 v1.0,"38,122,018","10,873","Franco MEE et al., 2022"
1122,Hypoxylon sp. FL1150 v1.0,"41,563,746","11,226","Franco MEE et al., 2022"
1124,Hypoxylon sp. FL1857 v1.0,"43,394,199","11,993","Franco MEE et al., 2022"
1125,Hypoxylon sp. NC0597 v1.0,"35,918,646","11,188","Franco MEE et al., 2022"
1127,Hypoxylon submonticulosum NC0708 v2.0,"40,046,532","11,421","Franco MEE et al., 2022"
1129,Hypoxylon vinosopulvinatum LGMF1613 v2.0,"41,463,670","11,869",
1131,Hysterangium stoloniferum HS.BST v1.0,"111,842,964","15,017","Miyauchi S et al., 2020"
1133,Ilyonectria europaea PMI82 v1.0,"63,663,791","22,250","Liao HL et al., 2019"
1135,Ilyonectria sp. MPI-CAGE-AT-0026 v1.0,"62,828,295","20,870","Mesny F et al., 2021"
1137,Inosperma lanatodiscum 2018PMI007 v1.0,"123,813,904","23,215",
1139,Irpex lacteus CCBAS Fr. 238 617/93 v1.0,"47,742,868","15,319","Hage H et al., 2021"
1141,Isaria fumosorosea ARSEF 2679,"33,485,962","10,061","Shang Y et al., 2016"
1143,Issatchenkia orientalis ATCC PTA-6658 v2.0,"23,081,982","4,909",
1144,Issatchenkia orientalis IO21 v1.0,"10,783,679","4,957",
1146,Jaapia argillacea v1.0,"45,045,919","16,419","Riley R et al., 2014"
1148,Jaminaea sp. MCA 5214 v1.0,"16,615,586","6,858","Kijpornyongpan T et al., 2018"
1149,Jimgerdemannia flammicorona AD002,"231,316,372","13,838","Chang Y et al., 2019"
1150,Jimgerdemannia flammicorona GMNB39,"239,574,967","13,653","Chang Y et al., 2019"
1151,Jimgerdemannia lactiflua OSC166217,"179,670,541","12,651","Chang Y et al., 2019"
1153,Kalaharituber pfeilii F3 v1.0,"78,991,937","15,190","Miyauchi S et al., 2020"
1155,Kalmanozyma brasiliensis GHG001,"17,325,407","5,765","Oliveira JVC et al., 2014"
1157,Kazachstania africana CBS 2517,"11,130,140","5,378","Gordon JL et al., 2011"
1158,Kazachstania naganishii CBS 8797,"10,845,821","5,321","Gordon JL et al., 2011"
1159,Khuskia oryzae ATCC 28132 v1.0,"46,052,188","13,375",
1161,Kluyveromyces dobzhanskii CBS 2104,"10,741,898","4,957",
1163,Kluyveromyces marxianus DMKU3 1042,"10,920,159","4,941","Lertwattanasakul N et al., 2015"
1165,Kockovaella imperatae NRRL Y-17943 v1.0,"17,465,713","7,393","Mondo SJ et al., 2017"
1167,Kretzschmaria deusta IL1129 v1.0,"56,079,074","13,003","Franco MEE et al., 2022"
1169,Kriegeriales sp. isolate P6C61 v1.0,"75,288,537","15,297",
1170,Kuraishia capsulata CBS 1993,"11,371,246","6,029","Morales L et al., 2013"
1172,Kwoniella pini CBS 10737,"20,828,584","7,829",
1174,Laccaria bicolor 81306 v1.0,"50,950,722","17,791",
1175,Laccaria bicolor CBS 559.96 v1.0,"43,460,209","16,977",
1177,Laccaria bicolor Cham3 v1.0,"44,650,607","16,084",
1178,Laccaria bicolor D101 v1.0,"70,029,479","22,538",
1180,Laccaria bicolor N203 v1.0,"69,628,581","21,909",
1181,Laccaria bicolor S238N 93.12 v1.1,"96,432,810","25,412",
1182,Laccaria bicolor S238N v1.0,"67,655,267","21,724",
1183,Laccaria bicolor S238N-H53 v1.0,"51,780,559","18,468",
1185,Laccaria bicolor S238N-H82 v1.0,"52,023,709","18,706",
1186,Laccaria bicolor S238N-H82xH70 v1.0,"42,115,601","17,045",
1188,Laccaria bicolor v2.0,"60,707,050","23,130","Martin F et al., 2008"
1190,Lachancea dasiensis CBS 10888,"10,701,617","5,096","Vakirlis N et al., 2016"
1192,Lachancea lanzarotensis CBS 12615,"11,092,131","5,058","Sarilar V et al., 2015"
1194,Lachancea mirantina INRA UMR 1319,"10,117,267","5,056","Vakirlis N et al., 2016"
1196,Lachancea quebecensis INRA UMR 1319,"10,229,370","5,074","Freel KC et al., 2016"
1197,Lachancea sp. CBS6924,"11,336,659","5,059","Vakirlis N et al., 2016"
1199,Lachnellula subtilissima CBS 196.66 v1.0,"33,858,279","11,875",
1201,Lactarius controversus PMI44 v1.0,"90,370,914","13,305",
1202,Lactarius deliciosus 48 v1.0,"96,043,985","18,193","Lebreton A et al., 2022"
1203,Lactarius hatsudake 109 v1.0,"95,486,030","16,831","Lebreton A et al., 2022"
1205,Lactarius indigo 2018DUKE089 v1.0,"90,316,074","16,554","Looney B et al., 2022"
1206,Lactarius psammicola BPL869 v1.0,"69,824,043","13,442","Looney B et al., 2022"
1208,Lactarius quietus S23C v1.0,"115,901,997","18,943","Miyauchi S et al., 2020"
1210,Lactarius subdulcis FM v1.0,"110,449,813","14,533",
1212,Lactifluus cf. subvellereus BPL653 v1.0,"44,824,221","12,802","Looney B et al., 2022"
1214,Laetiporus sulphureus var. sulphureus v1.0,"39,916,888","13,774","Nagy LG et al., 2016"
1216,Lasiosphaeria miniovina SMH2392-1A v1.0,"49,418,628","14,970","Hensen N et al., 2023"
1217,Lasiosphaeria ovina CBS 958.72 v1.0,"51,771,160","14,921","Hensen N et al., 2023"
1219,Lasiosphaeris hirsuta SMH4607-1 v1.0,"44,448,086","14,131","Hensen N et al., 2023"
1220,Lasiosphaeris hispida CBS 955.72 v1.0,"48,441,159","14,680","Hensen N et al., 2023"
1222,Lecanicillium lecanii RCEF 1005,"35,594,087","11,030","Shang Y et al., 2016"
1224,Leiotrametes lactinea CIRM-BRFM 1664 v1.0,"36,341,856","12,284","Hage H et al., 2021"
1225,Leiotrametes menziesii CIRM-BRFM 1781 v1.0,"35,218,293","12,529","Hage H et al., 2021"
1227,Lentamyces parricidus NRRL2409 v1.0,"22,379,953","9,633",
1229,Lentinellus vulpinus AHS73672-sp v1.0,"34,711,142","13,477",
1231,Lentinula aff. detonsa TFB10291 v1.0,"33,347,755","11,878","Sierra-Patev Sean et al., 2023"
1233,Lentinula aff. lateritia TMI1499 v1.0,"39,933,087","12,629","Sierra-Patev Sean et al., 2023"
1235,Lentinula boryana TFB10827 v1.0,"32,414,438","11,931","Sierra-Patev Sean et al., 2023"
1237,Lentinula detonsa TFB7829 v1.0,"33,642,804","12,379","Sierra-Patev Sean et al., 2023"
1238,Lentinula edodes B17 v1.3,"46,097,005","13,943","Park SG et al., 2017"
1240,Lentinula edodes Le(Bin) 0899 ss11 v1.0,"45,594,472","14,079","Zhang J et al., 2022"
1242,Lentinula edodes TMI1148 v1.0,"37,815,065","13,370","Sierra-Patev Sean et al., 2023"
1244,Lentinula edodes VB361 v1.0,"37,713,178","13,818","Sierra-Patev Sean et al., 2023"
1245,Lentinula edodes W1-26 v1.0,"41,825,817","12,538","Chen L et al., 2016"
1247,Lentinula guzmanii ET3784 v1.0,"41,453,719","12,281","Sierra-Patev Sean et al., 2023"
1248,Lentinula lateritia RHP3577 ss4 v1.0,"45,430,989","13,354","Sierra-Patev Sean et al., 2023"
1250,Lentinula novae-zelandiae ICMP 18003 v1.0,"48,944,544","11,421","Smith CA et al., 2021"
1252,Lentinula raphanica INPA1701G ss19 v1.0,"49,067,377","16,189","Sierra-Patev Sean et al., 2023"
1254,Lentinula raphanica JLM1587 v1.0,"38,596,630","14,701","Sierra-Patev Sean et al., 2023"
1256,Lentinula raphanica TFB9207 v1.0,"38,628,906","14,798","Sierra-Patev Sean et al., 2023"
1258,Lentinus tigrinus ALCF2SS1-6 v1.0,"39,878,053","15,581","Wu B et al., 2018"
1260,Lentinus tigrinus v1.0,"39,762,478","15,653",
1262,Leotiomycetes sp. MPI-SDFR-AT-0126 v1.0,"54,044,039","17,024","Mesny F et al., 2021"
1264,Lepidopterella palustris v1.0,"45,668,136","13,870","Peter M et al., 2016"
1266,Leptodontidium sp. MPI-SDFR-AT-0119 v2.0,"77,016,911","21,254","Mesny F et al., 2021"
1268,Leptoporus mollis OMC1684 v1.0,"53,014,723","12,118",
1270,Leptosphaeria microscopica UNIPAMPA013 v1.0,"41,197,383","13,848",
1272,Leratiomyces erythrocephalus mycota031 v2.0,"126,943,738","19,128",
1274,Leucoagaricus gongylophorus AB2 v1.0,"72,003,479","8,915",
1276,Leucoagaricus gongylophorus AS2 v1.0,"181,804,184","13,095",
1277,Leucoagaricus gongylophorus Ac12,"101,584,475","5,420","Aylward FO et al., 2013"
1278,Leucogyrophana mollusca KUC20120723A-06 v1.0,"35,193,237","14,619","Wu G et al., 2022"
1279,Leucosporidiella creatinivora UCDFST 62-1032 v1.0,"26,329,764","9,854","Mondo SJ et al., 2017"
1281,Lichtheimia hyalospora v1.0,"33,282,407","12,062","Wang Y et al., 2023"
1283,Linderina pennispora ATCC 12442 v1.0,"26,202,545","9,351","Mondo SJ et al., 2017"
1285,Lindra thalassiae JK4322 v1.0,"31,924,598","8,029",
1286,Lineolata rhizophorae ATCC 16933 v1.0,"31,143,728","10,230","Haridas S et al., 2020"
1288,Linnemannia elongata AD073 v1.0,"48,200,405","13,851",
1289,Linnemannia elongata GBA34,"46,924,179","12,728","Vandepol N et al., 2020"
1291,Linnemannia elongata NVP5,"46,032,190","12,746","Vandepol N et al., 2020"
1292,Linnemannia elongata NVP71,"45,603,771","12,313","Vandepol N et al., 2020"
1293,Linnemannia exigua NRRL 28262,"48,115,323","12,120","Vandepol N et al., 2020"
1294,Linnemannia gamsii AD045,"49,262,965","12,723","Vandepol N et al., 2020"
1296,Linnemannia schmuckeri NRRL 6426,"46,052,497","12,060","Vandepol N et al., 2020"
1298,Linnemannia zychae PUST F9C,"44,794,830","11,182","Vandepol N et al., 2020"
1300,Lipomyces chichibuensis CBS 12929 v1.0,"16,367,653","6,545","Czajka JJ et al., 2024"
1302,Lipomyces doorenjongii NRRL Y-27504 v1.0,"18,877,777","7,320","Czajka JJ et al., 2024"
1304,Lipomyces japonicus CBS 7319 v1.0,"13,369,807","5,843","Czajka JJ et al., 2024"
1306,Lipomyces kononenkoae NRRL Y-11553 v1.0,"16,949,407","7,139","Czajka JJ et al., 2024"
1307,Lipomyces mesembrius CBS 7600 v1.0,"16,874,791","6,759","Czajka JJ et al., 2024"
1309,Lipomyces orientalis CBS 10300 v1.0,"19,864,541","7,764","Czajka JJ et al., 2024"
1310,Lipomyces smithiae NRRL Y-17922 v1.0,"14,146,010","6,067","Czajka JJ et al., 2024"
1312,Lipomyces starkeyi CBS 7851 v1.0,"19,724,608","7,581","Czajka JJ et al., 2024"
1314,Lipomyces starkeyi NRRL Y-11557 v1.0,"21,267,709","8,192","Riley R et al., 2016"
1316,Lipomyces starkeyi Phaff 55-103 v1.0,"20,058,158","7,747","Czajka JJ et al., 2024"
1318,Lipomyces starkeyi Phaff 78-25 v1.0,"19,965,309","7,746","Czajka JJ et al., 2024"
1319,Lipomyces suomiensis NRRL Y-17356 v1.0,"14,000,343","6,130","Czajka JJ et al., 2024"
1320,Lipomyces tetrasporus NRRL Y-11562 v1.0,"20,463,707","8,129","Czajka JJ et al., 2024"
1321,Lipomyces tetrasporus NRRL Y-27496 v1.0,"20,918,950","8,124",
1322,Lipomyces tetrasporus NRRL Y-64009 v1.0,"20,779,202","8,004","Jagtap SS et al., 2023"
1324,Lipomyces tetrasporus Phaff 51-55 v1.0,"19,920,682","7,831","Czajka JJ et al., 2024"
1326,Lobaria pulmonaria Africa extracted metagenome v1.0,"55,026,754","16,100",
1328,Lobaria pulmonaria Scotland reference genome v1.0,"56,119,610","15,607",
1330,Lobaria pulmonaria Switzerland extracted metagenome v1.0,"54,928,118","16,426",
1332,Lobosporangium transversale NRRL 5525,"35,648,639","11,345","Vandepol N et al., 2020"
1333,Lodderomyces elongisporus NRRL YB-4239,"15,350,449","5,746","Butler G et al., 2009"
1335,Lomentospora prolificans JHH-5317,"37,603,105","8,557","Luo R et al., 2017"
1337,Lophiotrema nucula CBS 627.86 v1.0,"48,642,237","18,117","Haridas S et al., 2020"
1339,Lophodermium nitens PLMe3-1-3 v1.0,"74,665,558","19,985",
1341,Loramyces juncicola 46458 v1.0,"42,679,920","14,372",
1342,Loramyces macrosporus CBS235.53 v1.0,"50,587,134","14,665",
1344,Lycoperdon perlatum FP-102459-T v1.0,"64,634,788","17,855",
1345,Lyophyllum atratum CBS 144462 v1.0,"64,896,558","15,046","Steindorff AS et al., 2021"
1346,Macrolepiota fuliginosa MF-IS2 v1.0,"46,396,944","15,801","Ruiz-Dueñas FJ et al., 2021"
1347,Macrophomina phaseolina MPI-SDFR-AT-0080 v1.0,"53,641,247","14,845","Mesny F et al., 2021"
1349,Macroventuria anomochaeta CBS 525.71 v1.0,"33,336,106","12,954","Haridas S et al., 2020"
1351,Magnaporthiopsis poae ATCC 64411,"39,503,331","12,335","Okagaki LH et al., 2015"
1352,Malassezia globosa,"8,958,118","4,286","Xu J et al., 2007"
1354,Malassezia sympodialis ATCC 42132,"7,669,689","3,517","Gioti A et al., 2013"
1356,Malbranchea cinnamomea CBS 34355,"24,330,608","9,074",
1357,Marasmius fiardii PR-910 v1.0,"59,447,912","17,098","Miyauchi S et al., 2020"
1359,Marssonina brunnea f. sp. monogermtubi NL1,"50,288,590","9,852",
1361,Martensiomyces pterosporus CBS 209.56 v1.0,"19,815,802","8,435","Amses KR et al., 2022"
1362,Massarina eburnea CBS 473.64 v1.0,"38,236,937","12,935","Haridas S et al., 2020"
1363,Massariosphaeria phaeospora CBS 611.86 v1.0,"42,105,601","14,021","Haridas S. et al., 2020"
1364,Mattirolomyces terfezioides MAT_tt4AIII v1.0,"50,061,460","10,894",
1366,Melampsora allii-populina 12AY07 v1.0,"335,730,080","23,089",
1368,Melampsora larici-populina v2.0,"109,877,997","19,550","Persoons A et al., 2022"
1370,Melampsora medusae f. sp. Deltoidae Mmd05TRE539 v1.0,"139,726,837","20,491",
1371,Melampsora medusae f. sp. tremuloidae Mmt05Ida529 v1.0,"145,187,885","22,850",
1373,Melanconium sp. NRRL 54901 v1.0,"58,516,921","16,656",
1375,Melanomma pulvis-pyrius v1.0,"42,094,923","15,881","Haridas S et al., 2020"
1377,Melanospora tiffanyae F1KG0001 v1.0,"28,361,249","8,994",
1379,Meliniomyces bicolor E v2.0,"82,384,847","18,619","Martino E et al., 2018"
1381,Meliniomyces variabilis F v1.0,"55,857,776","20,389","Martino E et al., 2018"
1383,Meripilus sumstinei FP 105329 v1.0,"32,757,303","10,348",
1385,Metarhizium acridum CQMa 102,"39,422,329","9,849","Gao Q et al., 2011"
1387,Metarhizium anisopliae ARSEF 549,"38,504,274","10,891","Hu X et al., 2014"
1388,Metarhizium brunneum ARSEF3297,"37,016,100","10,689","Hu X et al., 2014"
1390,Metarhizium majus ARSEF 297,"41,974,566","11,535","Hu X et al., 2014"
1391,Metarhizium rileyi RCEF4871,"31,982,430","8,764","Shang Y et al., 2016"
1392,Metarhizium robertsii ARSEF 23,"41,656,800","11,688","Hu X et al., 2014"
1394,Metschnikowia bicuspidata single-cell v1.0,"10,953,298","4,778","Ahrendt SR et al., 2018"
1395,Metschnikowia fructicola 277,"24,482,224","7,362","Hershkovitz V et al., 2013"
1396,Metschnikowia gruessii VY0332 v1.0,"38,812,729","7,148",
1397,Metschnikowia koreensis Y137 v1.0,"29,264,306","6,234",
1399,Metschnikowia pulcherrima NRRL Y-7111 v1.1,"21,177,619","6,130",
1400,Metschnikowia rancensis CR1 v1.0,"50,039,127","8,302",
1401,Metschnikowia reukaufii MR1 v1.1,"16,349,392","5,989",
1402,Metschnikowia sp. nov. yHQL305 v1.1,"17,690,283","5,906",
1403,Metschnikowia sp. yHQL305 v1.0,"17,690,283","5,744",
1405,Meyerozyma guilliermondii ATCC 6260,"10,609,954","5,920","Butler G et al., 2009"
1406,Microascus trigonosporus CBS 218.31 v1.0,"36,100,005","13,087",
1407,Microbotryomycetes incertae sedis isolate P6C30 v1.0,"33,036,925","11,616",
1408,Microbotryomycetes sp. P2C70 v1.0,"25,493,598","9,956",
1410,Microbotryum lychnidis-dioicae p1A1 Lamole,"26,138,885","7,819","Perlin MH et al., 2015"
1412,Microdochium bolleyi J235TASD1 v1.0,"38,835,037","13,177","David AS et al., 2016"
1413,Microdochium trichocladiopsis MPI-CAGE-CH-0230 v1.0,"49,282,715","16,025","Mesny F et al., 2021"
1415,Microthyrium microscopicum CBS 115976 v1.0,"37,120,801","12,494","Haridas S et al., 2020"
1416,Mitosporidium daphniae UGP3,"5,636,959","3,330","Haag KL et al., 2014"
1417,Mixia osmundae IAM 14324 v1.0,"13,634,488","6,903","Toome M et al., 2014"
1418,Modicella reniformis MES-2147,"43,601,601","12,900","Vandepol N et al., 2020"
1419,Moelleriella libera RCEF2490,"30,816,562","8,461","Shang Y et al., 2016"
1420,Moesziomyces antarcticus JCM 10317,"18,111,965","6,766","Saika A et al., 2014"
1421,Moesziomyces aphidis DSM 70725,"17,921,702","6,011","Lorenz S et al., 2014"
1422,Monacrosporium haptotylum CBS 200.50,"39,531,920","10,959","Meerupati T et al., 2013"
1423,Monascus purpureus v1.0,"23,439,871","8,918",
1424,Monascus ruber NRRL 1597 v1.0,"24,798,814","9,650",
1425,Moniliella sp. MCA 3643 v1.0,"25,920,869","9,189",
1426,Moniliophthora perniciosa FA553,"18,411,357","13,560","Mondego JM et al., 2008"
1427,Moniliophthora roreri MCA 2997,"52,057,512","15,415","Meinhardt LW et al., 2014"
1428,Morchella americana PhC 192 v1.0,"63,616,142","11,032",
1429,Morchella anatolica PhC 233 v1.0,"57,520,386","10,630",
1431,Morchella arbutiphila PhC 291 v1.0,"54,167,150","11,179",
1433,Morchella brunnea NRRL 20869 v1.0,"56,688,582","10,595",
1435,Morchella crassipes M84 v1.0,"54,774,707","10,480",
1437,Morchella diminutiva Mes-2 v1.0,"53,423,193","10,998",
1439,Morchella dunalii PhC 240 v1.0,"50,708,236","10,363",
1440,Morchella eohespera Mel-19 v1.0,"52,040,391","10,683",
1441,Morchella esculenta PhC 158 v1.0,"51,151,225","10,777",
1443,Morchella eximia NRRL 26621 v1.0,"47,787,820","10,506",
1445,Morchella galilaea PhC 278 v1.0,"49,330,577","10,239",
1447,Morchella importuna CCBAS932 v1.0,"48,213,273","11,600","Murat C et al., 2018"
1449,Morchella kakiicolor PhC 280 v3.0,"68,805,960","10,759",
1451,Morchella peruviana NRRL 66754 v1.0,"63,365,966","10,593",
1452,Morchella populiphila NRRL 22315 v1.0,"52,967,574","10,306",
1454,Morchella pulchella Mel-31 v1.0,"57,270,374","11,459",
1455,Morchella punctipes GB769 v1.0,"54,992,451","10,647",
1457,Morchella septentrionalis NRRL 54509 v1.0,"51,476,262","10,799",
1458,Morchella snyderi CBS 144464 v1.0,"54,771,879","11,100","Steindorff AS et al., 2022"
1459,Morchella sp. Mes-17 v1.0,"51,333,659","10,854",
1460,Morchella steppicola PhC 289 v1.0,"81,030,815","11,718",
1461,Morchella tridentina NRRL 54570 v1.0,"55,750,205","11,075",
1463,Morchella vulgaris PhC 271 v2.0,"49,957,398","10,632",
1464,Mortierella alpina 312A_T17_1 v1.0,"38,457,836","12,295",
1466,Mortierella alpina AD072,"37,282,625","10,869","Vandepol N et al., 2020"
1468,Mortierella alpina CK1249,"36,285,647","10,609","Vandepol N et al., 2020"
1470,Mortierella alpina KOD1005 v1.0,"37,623,140","11,816",
1471,Mortierella alpina NRRL 66262,"37,714,408","10,498","Vandepol N et al., 2020"
1472,Mortierella ambigua NRRL 28271 v1.0,"39,110,494","10,759",
1473,Mortierella antarctica KOD 1229,"35,455,509","10,312","Vandepol N et al., 2020"
1475,Mortierella claussenii NRRL 2760,"37,458,580","10,414","Vandepol N et al., 2020"
1477,Mortierella elongata MPI-CAGE-AA-0104 v1.0,"50,910,406","14,234","Mesny F et al., 2021"
1478,Mortierella elongata NVP64 v1.0,"51,153,770","13,739","Mathieu D et al., 2024"
1479,Mortierella gamsii AM1032 v1.0,"57,786,961","14,981",
1481,Mortierella globulifera REB-010B,"39,164,784","10,413","Vandepol N et al., 2020"
1482,Mortierella humilis PMI_1414 v1.0,"36,204,870","12,012","Chang Y et al., 2022"
1484,Mortierella minutissima AD051 v1.0,"42,872,265","13,383",
1486,Mortierella polycephala KOD 948,"32,627,605","10,186","Vandepol N et al., 2020"
1487,Mortierella sp. 14UC,"45,164,476","11,889","Vandepol N et al., 2020"
1488,Mortierella sp. AD010,"38,565,807","11,645","Vandepol N et al., 2020"
1490,Mortierella sp. AD031,"44,817,182","12,719","Vandepol N et al., 2020"
1492,Mortierella sp. AD094,"43,843,750","12,995","Vandepol N et al., 2020"
1494,Mortierella sp. AM989,"40,151,908","11,516","Vandepol N et al., 2020"
1495,Mortierella sp. GBA30,"36,978,069","10,471","Vandepol N et al., 2020"
1496,Mortierella sp. GBA35,"44,822,097","12,284","Vandepol N et al., 2020"
1497,Mortierella sp. GBA39,"50,896,850","15,194","Vandepol N et al., 2020"
1498,Mortierella sp. GBA43,"39,248,249","11,601","Vandepol N et al., 2020"
1499,Mortierella sp. GBAus27b v1.0,"44,971,843","13,953","Chang Y et al., 2022"
1500,Mortierella sp. KOD 1030,"38,836,819","11,804","Vandepol N et al., 2020"
1501,Mortierella sp. NVP41,"45,063,994","12,544","Vandepol N et al., 2020"
1503,Mortierella verticillata NRRL 6337,"41,854,149","12,569",
1505,Mrakia frigida ATCC 22029 v1.0,"28,159,101","9,516",
1506,Mucor ambiguus NBRC 6742,"40,737,472","11,343","Lebreton A et al., 2020"
1507,Mucor circinelloides f circinelloides 1006PhL,"36,348,485","12,227","Lee SC et al., 2014"
1508,Mucor cordense RSA 1222 v1.0,"40,953,002","16,794",
